user,text
SwethaDeb,"Get Upto 90% Off Across Categories on Snapdeal 
Shop Now!
https://t.co/HRphRtnlHy
@snapdeal #offers #affiliates… https://t.co/wEhCGkrvI6"
SwethaDeb,"Get Upto 90% Off Across Categories on Snapdeal 
Shop Now!
https://t.co/HRphRtEoJy
@snapdeal #offers #affiliates… https://t.co/4dGSoLgfTo"
Snapdeal_Help,@rajmo1077 We always request our customers to never share their personal details publicly as our page is visible to… https://t.co/gzfoDlv0u0
Snapdeal_Help,@rajmo1077 So sorry to disappoint you. I'll get this checked and have my team contact you soon. Thanks! Sam
Snapdeal_Help,@rajmo1077 Hi! We always request our customers to never share their personal details publicly as our page is visibl… https://t.co/3d0EZwB9M2
Snapdeal_Help,@rajmo1077 Hi! We sincerely regret to know this. I've shared this with my team. We'll connect with you soon regarding this. Thanks! Avi
rajmo1077,@right_in2_two @Snapdeal_Help I Order 2 pairs of shoes on 14th june 2022 and delivered on 18th june but i received… https://t.co/8TvXwpHyDX
rajmo1077,@Snapdeal_Help @MayankS93407131 I Order 2 pairs of shoes on 14th june 2022 and delivered on 18th june but i receive… https://t.co/GaTMyvEkg3
rajmo1077,"@Snapdeal_Help @snapdeal 
I Order 2 pairs of shoes on 14th june 2022 and delivered on 18th june but i received  bot… https://t.co/AaZMY5HVAz"
rckin_rahul,@Snapdeal_Help kindly help me to release my frozen amount with your partner @headsupcorp
